suite,noise_sigma,method,mean_baseline_nmse,median_baseline_nmse,std_baseline_nmse
exact,0.0,affine_ls,34.92406396109542,0.036936865943712975,155.85600763172562
exact,0.0,fourier_oracle,0.24857117611197613,0.24004932731053402,0.05423455729410416
exact,0.0,gaussian_oracle,12.936379142756383,0.031204209277848012,57.66032546693735
exact,0.0,hcrd_centered,0.0,0.0,0.0
exact,0.0,hcrd_guided_fixed,22.719494646493942,0.024037958838463293,101.39091983804063
exact,0.0,hcrd_guided_oracle,12.249692120022281,0.012957217585825749,54.66689912929468
exact,0.0,hcrd_legacy,8.319523496764845,0.008799008169779285,37.1276297926993
exact,0.0,hcrd_robust,7.836149351958915e-31,2.1639159640668452e-32,3.3306180902320515e-30
exact,0.0,moving_average_oracle,34.309718654615175,0.07080573160516739,153.0681925119575
exact,0.0,rdp_oracle_budget,7.836149351958915e-31,2.1639159640668452e-32,3.3306180902320515e-30
exact,0.03,affine_ls,0.1265696131399972,0.03700994106286492,0.39196150004820574
exact,0.03,fourier_oracle,0.23770339927610293,0.2400563062786133,0.011012369056342829
exact,0.03,gaussian_oracle,0.058461360605733426,0.04303038711240301,0.07234724947747338
exact,0.03,hcrd_centered,3.2267702812161985,0.9588428561720371,9.997987959216266
exact,0.03,hcrd_guided_fixed,0.1044010693540369,0.037144040042695045,0.3041153667568603
exact,0.03,hcrd_guided_oracle,0.1044010693540369,0.037144040042695045,0.3041153667568603
exact,0.03,hcrd_legacy,3.2267702812161985,0.9588428561720371,9.997987959216266
exact,0.03,hcrd_robust,0.0014278659483157718,0.0004158206911610648,0.0036177402641964385
exact,0.03,moving_average_oracle,0.13499799551527228,0.05782723492015583,0.3446708069236226
exact,0.03,rdp_oracle_budget,0.0014278659483157718,0.0004158206911610648,0.0036177402641964385
exact,0.1,affine_ls,0.7076133329117436,0.13794962230596358,1.8328898046123248
exact,0.1,fourier_oracle,0.23892194650568688,0.24048273374613327,0.010402390425308364
exact,0.1,gaussian_oracle,0.40037381306757275,0.09356678792815637,0.9415396641735335
exact,0.1,hcrd_centered,18.03279403080008,3.382957108687401,48.489441491439706
exact,0.1,hcrd_guided_fixed,10.800373852771202,1.8606219480928492,31.895758067777518
exact,0.1,hcrd_guided_oracle,1.3170415394163322,0.27432515139509445,3.3239104234572316
exact,0.1,hcrd_legacy,18.03279403080008,3.382957108687401,48.489441491439706
exact,0.1,hcrd_robust,1.041864598398417,0.019381028457475524,4.294860337379059
exact,0.1,moving_average_oracle,0.7536119230205546,0.18909811961120487,1.9410017287250374
exact,0.1,rdp_oracle_budget,1.041864598398417,0.019381028457475524,4.294860337379059
variable,0.0,affine_ls,0.7657818354593797,0.6981277489803137,0.5422998041796384
variable,0.0,fourier_oracle,0.4337872757385176,0.4031442546703223,0.31602709180205835
variable,0.0,gaussian_oracle,0.47103707186128324,0.4435364033879706,0.3549540092761562
variable,0.0,hcrd_centered,0.06811617686952438,0.04609403052631556,0.06488399664417965
variable,0.0,hcrd_guided_fixed,0.7304257287737757,0.5032802082068234,0.7189608719702332
variable,0.0,hcrd_guided_oracle,0.4004818102789822,0.2795769862605039,0.36988133735235895
variable,0.0,hcrd_legacy,0.06811617686952438,0.04609403052631556,0.06488399664417965
variable,0.0,hcrd_robust,1.0348682619287184,0.7886065478681686,1.1018698440584014
variable,0.0,moving_average_oracle,0.6218792215215336,0.5607202774907281,0.5435754131115755
variable,0.0,rdp_oracle_budget,1.1295466959032003,0.8780252862236427,0.7936751218916659
variable,0.03,affine_ls,0.8769168714988966,0.5695149717482436,0.6914591256365057
variable,0.03,fourier_oracle,0.34469802255016646,0.2975853772883873,0.24141322277314353
variable,0.03,gaussian_oracle,0.5147260485461564,0.3097209429572896,0.5021127735537946
variable,0.03,hcrd_centered,5.455182885019563,4.2121947607893695,4.44006087914569
variable,0.03,hcrd_guided_fixed,0.672201263192941,0.43133716891702933,0.5994158985483126
variable,0.03,hcrd_guided_oracle,0.6685825653568763,0.43133716891702933,0.5996221644517086
variable,0.03,hcrd_legacy,5.455182885019563,4.2121947607893695,4.44006087914569
variable,0.03,hcrd_robust,1.6292333008986062,1.0156447600982528,2.072760833570066
variable,0.03,moving_average_oracle,0.6153242924717358,0.34145739032557887,0.6132811433118507
variable,0.03,rdp_oracle_budget,1.287991003989494,0.9519003545480884,1.5443140574187844
variable,0.1,affine_ls,0.8197851495197108,0.5502595452236881,0.7875283238524513
variable,0.1,fourier_oracle,0.3680748490853499,0.3297486422273128,0.2450252968696465
variable,0.1,gaussian_oracle,0.3987585908259131,0.24207480009293436,0.4560463890388284
variable,0.1,hcrd_centered,8.295808390756807,3.480791132347739,12.272793590438077
variable,0.1,hcrd_guided_fixed,3.6563074809642915,2.0893274090631078,4.611896712874455
variable,0.1,hcrd_guided_oracle,0.9007562887243875,0.415518703353985,1.1425758140806281
variable,0.1,hcrd_legacy,8.295808390756807,3.480791132347739,12.272793590438077
variable,0.1,hcrd_robust,1.507282955518554,1.5660666819237876,1.1257486907612186
variable,0.1,moving_average_oracle,0.5795963570957394,0.31231542463762385,0.7526372106572308
variable,0.1,rdp_oracle_budget,1.3029201567566646,1.232860364853579,1.050907732317884
