file,wsd_id,length,train_index,anomaly_points,anomaly_events,max_run,max_run_fraction,anomaly_occupancy,primary_sparse_transient,file_sha256
029_WSD_id_1_WebService_tr_4559_1st_10201.csv,1,18236,4559,26,1,26,0.0014257512612415003,0.0014257512612415003,True,07d7c6cf922a480b17addf685a0df665228628944774db4b64ca93cc3aed93df
030_WSD_id_2_WebService_tr_4499_1st_4599.csv,2,18084,4499,88,7,19,0.001050652510506525,0.004866180048661801,True,f7d57a277878f30bae6285316077b29e9d3164b1fa80c3bdfa5289a509ae049c
031_WSD_id_3_WebService_tr_826_1st_926.csv,3,18236,826,39,1,39,0.0021386268918622505,0.0021386268918622505,True,660d9c84041937e241ade2ebe281a02a474a9961195df69d0ef279ff043eb6a9
034_WSD_id_6_WebService_tr_4559_1st_8461.csv,6,18236,4559,188,4,70,0.0038385610879578856,0.010309278350515464,False,0aff24779680aaf84011ebabeb6c333a00ef6c96238e8149d303f3e42bfd7034
035_WSD_id_7_WebService_tr_4555_1st_11911.csv,7,18220,4555,32,3,12,0.0006586169045005489,0.001756311745334797,True,b26a444d988613bf176fc5ec408bc21d9767e23aa26d232ca82e167af8227548
036_WSD_id_8_WebService_tr_4504_1st_6898.csv,8,18016,4504,6,2,3,0.00016651865008880995,0.0003330373001776199,True,61c8c72e14e0b0802052c0775e52e022cd68fa331416009594eb4808b42f4cf8
037_WSD_id_9_WebService_tr_4583_1st_6214.csv,9,18334,4583,46,3,20,0.0010908694229300752,0.002508999672739173,True,5d07c633df7d28607ceb0bcbeb899c8976c4592e629a4e300a5261a4a7c2515e
041_WSD_id_13_WebService_tr_4296_1st_5196.csv,13,17186,4296,156,7,65,0.0037821482602118004,0.009077155824508321,True,4d7d6d8da7f5b9a56ff1925013df16299acf15c226c4f08450a30a928d9d0a8d
042_WSD_id_14_WebService_tr_3015_1st_3115.csv,14,18308,3015,121,12,16,0.0008739348918505571,0.006609132619619838,True,82c6bef41d6455f676a24771fb514d5e366c242e9fc517368308a4aee168ef60
044_WSD_id_16_WebService_tr_4559_1st_6975.csv,16,18236,4559,32,1,32,0.001754770783066462,0.001754770783066462,True,ec21a1a89238517e1fc111ab55f84c5025c062de146239f380f55d7b2f20087e
046_WSD_id_18_WebService_tr_2357_1st_2457.csv,18,18220,2357,130,11,16,0.0008781558726673985,0.007135016465422613,True,0c88676e60932032f873c0fe6baeae0d6f6ace0c4efae33ff72ca93febc2b8c2
047_WSD_id_19_WebService_tr_4559_1st_16362.csv,19,18236,4559,14,1,14,0.0007677122175915771,0.0007677122175915771,True,7048116a532079b207ab87e800fdff432cc77efb5fe723e264e2f47d507d0776
048_WSD_id_20_WebService_tr_4559_1st_11813.csv,20,18236,4559,53,2,27,0.0014805878482123272,0.0029063391094538275,True,01f5b8d74283c9670a8dbdae4118b315e1f7c0d521fd3f2bbebe3800f11c43c2
050_WSD_id_22_WebService_tr_4559_1st_12816.csv,22,18236,4559,23,1,23,0.0012612415003290195,0.0012612415003290195,True,018fd70a2d92d913c49bcb6b6d35e4a329f02e58a28423905ce671bb8efc6aeb
051_WSD_id_23_WebService_tr_3919_1st_5154.csv,23,15676,3919,60,4,22,0.0014034192396019394,0.003827507017096198,True,f3d6913c700507d95efcda7653bde0d06585de2c430296fc501f6d716a8f2b35
052_WSD_id_24_WebService_tr_4559_1st_9102.csv,24,18236,4559,34,2,31,0.001699934196095635,0.001864443957008116,True,4b4589783af841acbd68bc578cfe4f110911568ad4319464385bbcc0dbf02421
055_WSD_id_27_WebService_tr_3768_1st_3868.csv,27,18191,3768,103,8,18,0.0009895003023473146,0.005662140618987411,True,c2784525f329ae3ecd4c6fb31bbc288fa025c38062352c99bb6fe54df55f5f37
056_WSD_id_28_WebService_tr_4559_1st_9689.csv,28,18236,4559,38,1,38,0.0020837903048914236,0.0020837903048914236,True,dc4754f58cb6b7152f64a08062507d00a16347bb9c20bd10d78b531da4a707ce
057_WSD_id_29_WebService_tr_2229_1st_2329.csv,29,18236,2229,29,1,29,0.001590261022153981,0.001590261022153981,True,0d58744554f777f6b8029426992b51496cb00c184cb9a4e020528631361a5ac7
059_WSD_id_31_WebService_tr_4559_1st_9058.csv,31,18236,4559,25,1,25,0.0013709146742706734,0.0013709146742706734,True,fa4ec46b1fa453076b32c0bc192e56442da5697eb1ccd0dd276b9ffdd6dfe56f
061_WSD_id_33_WebService_tr_4559_1st_9722.csv,33,18236,4559,30,3,11,0.0006032024566790963,0.001645097609124808,True,4a4d4eaa3c24cae27ad0a2427cee8fe85aafa9bbaf434751ca42458d4412718a
062_WSD_id_34_WebService_tr_3371_1st_3471.csv,34,18236,3371,160,16,21,0.0011515683263873657,0.00877385391533231,True,9948bb2af3ba7046267291e2abdb354c02e699317c2bcc202536adaa7e290e04
063_WSD_id_35_WebService_tr_2290_1st_2390.csv,35,18236,2290,67,3,26,0.0014257512612415003,0.003674051327045405,True,466bb62f2dbca29c1cb01b55f4ceb1adbaa6f8c7ff9d4c88634870f89ff005c8
064_WSD_id_36_WebService_tr_4559_1st_10195.csv,36,18236,4559,25,1,25,0.0013709146742706734,0.0013709146742706734,True,2687fa5c499f1c4cf67f0f744fc4a59e360c4793734cd87a67ebca92b201fad5
065_WSD_id_37_WebService_tr_3451_1st_3551.csv,37,18236,3451,199,2,172,0.009431892958982233,0.01091248080719456,False,8065820e303462461637724a43f0a452b9678c1a543d4b562d4387f5b0706cf1
066_WSD_id_38_WebService_tr_3320_1st_3420.csv,38,18302,3320,112,8,31,0.0016938039558518194,0.006119549775980767,True,a4280bf8b8c2d953650b8c1f8950418eb63c2d9d7e990f57506da4a934456b4e
067_WSD_id_39_WebService_tr_4559_1st_13973.csv,39,18236,4559,48,1,48,0.002632156174599693,0.002632156174599693,True,b55cee7956026a5765cb66c5b83206f16803d1667af5835788e6d039dcfe8b56
069_WSD_id_41_WebService_tr_4548_1st_13988.csv,41,18192,4548,13,1,13,0.0007145998240985048,0.0007145998240985048,True,46faf22721e237ed95ab063a1149365a26f172aeb308c797df4d7f4d4b04db63
071_WSD_id_43_WebService_tr_3387_1st_3487.csv,43,18236,3387,2095,7,1677,0.09196095635007677,0.11488264970388243,False,8c1fbf96c616976bf41f3e2ed94feef2aadaa5837c2073ae6d3425db985d1371
072_WSD_id_44_WebService_tr_1691_1st_1791.csv,44,12500,1691,187,4,72,0.00576,0.01496,False,d7f564d3fd697c8e81fca984404dbb56d79b56b32a2d6ab10a7416dd49eba38e
073_WSD_id_45_WebService_tr_3392_1st_3492.csv,45,15000,3392,268,2,255,0.017,0.017866666666666666,False,d4e9bd1d7e810676449655d60cdfd48f31ad4509c01afd6e3f619662cbf729b9
075_WSD_id_47_WebService_tr_3296_1st_3468.csv,47,13186,3296,35,4,12,0.0009100561201274078,0.002654330350371606,True,fece7566fe776b836a5b636de10ab1b9bfac47896dedf07d22e3c81fae799791
076_WSD_id_48_WebService_tr_3821_1st_7083.csv,48,15285,3821,9,2,6,0.0003925417075564279,0.0005888125613346418,True,577a4fa8fdd4721a199a53927c54519032ebe99391df24f049e25bcc45d32772
077_WSD_id_49_WebService_tr_3310_1st_3716.csv,49,13243,3310,59,6,13,0.0009816506833798988,0.0044551838707241566,True,c2cc20e82817bb8defb9f4e9b84ef27e7810df436b79b1e08fcb9865d69baa05
078_WSD_id_50_WebService_tr_2449_1st_2549.csv,50,18381,2449,73,6,14,0.0007616560578858604,0.003971492301833415,True,1939280ac8d0fec0d0ee0c8c751dd634be16a17a00e02d0e4d5ecbcf7544ab52
079_WSD_id_51_WebService_tr_4559_1st_10672.csv,51,18236,4559,27,2,17,0.000932221978504058,0.0014805878482123272,True,7a64ce5fea662909a91c7fd2abf0e30484c0f102b5408ec1715078c195bdb7e3
080_WSD_id_52_WebService_tr_1538_1st_1638.csv,52,18307,1538,96,15,27,0.001474845687441962,0.005243895777571421,True,ad725cc4fa98cd9aa20dc3785b6cc643209eab85ce95d8770b9bb9cfc1831af3
081_WSD_id_53_WebService_tr_4559_1st_8448.csv,53,18236,4559,204,3,107,0.005867514805878482,0.011186663742048695,False,5432eac6453d810c3cd1c4dc81894e1548e2fc1b9956db219d0badce1c82e95c
082_WSD_id_54_WebService_tr_4437_1st_4805.csv,54,17748,4437,141,5,77,0.004338517016001803,0.007944557133198107,True,e29552439596d812ea7196340195bdc8e7faebad1f0cff506e68034cc6309a9b
083_WSD_id_55_WebService_tr_4599_1st_4863.csv,55,18397,4599,616,2,613,0.033320650105995546,0.03348372017176714,False,f3f4c0229c405e76a8c3133bbf3dbbb268084d7510bacbca65a865cd5a1ca1f2
084_WSD_id_56_WebService_tr_4559_1st_9616.csv,56,18236,4559,63,1,63,0.0034547049791620967,0.0034547049791620967,True,fc092f9a7d1055f52642a4e36e63cb27595cf13014da4b5e6941135a10ebffe0
085_WSD_id_57_WebService_tr_780_1st_880.csv,57,15403,780,203,24,12,0.0007790690125300266,0.013179250795299618,False,5c00463af77335042fa3bdd5cc433373445718b57fb72d10c57ac610786db6f6
086_WSD_id_58_WebService_tr_4436_1st_9529.csv,58,17746,4436,23,4,14,0.0007889101769412826,0.0012960667192606784,True,ba43ea4993f5fb1755b8ff8e6075be87d68b36dde02ee321160a51f8aef24572
087_WSD_id_59_WebService_tr_4559_1st_12600.csv,59,18236,4559,11,1,11,0.0006032024566790963,0.0006032024566790963,True,092549f8131aad45523c7483e2536dfcc6baf5a252a9b8b8ed115770414ab30d
088_WSD_id_60_WebService_tr_4548_1st_5596.csv,60,18193,4548,59,4,23,0.0012642225031605564,0.0032430055515857746,True,a5aad56d0f18d0b035cd3071fecf49bb0e7da3c4de62e162bed2072c25a1b521
090_WSD_id_62_WebService_tr_2281_1st_2381.csv,62,13236,2281,150,11,50,0.0037775763070414022,0.011332728921124207,False,0e3cf6e239388bf1a03e0360c6fe4a45f5e826dd470421f17bc671738b3bd489
091_WSD_id_63_WebService_tr_500_1st_363.csv,63,18230,500,158,10,24,0.0013165112452002193,0.008667032364234778,True,d89a5616670966b0b6be52c31c1e2b47ddb8ba32e72147c479cf836ef9d765f7
092_WSD_id_64_WebService_tr_500_1st_118.csv,64,18242,500,43,5,23,0.0012608266637430107,0.002357197675693455,True,d36653f828cdd8215be206b0c0e15b47fab12d8830fa520c2738f8ec762c8e80
093_WSD_id_65_WebService_tr_1125_1st_1225.csv,65,18179,1125,177,11,61,0.0033555201056163705,0.009736509158919632,True,0e8bfa167c8f92ac6c558e48e056220808095a3c528dbf7a6380cc0777c13550
095_WSD_id_67_WebService_tr_2182_1st_2282.csv,67,18236,2182,14,1,14,0.0007677122175915771,0.0007677122175915771,True,a2a8873ef0291fa050106ef45a6da178f44861441e497e98a417c69100879a9d
096_WSD_id_68_WebService_tr_1341_1st_1441.csv,68,10744,1341,33,3,13,0.0012099776619508562,0.003071481757259866,True,7e875806d3782ccd50bb7957a87cff9de2c1d67609ed265c53298d210253368f
097_WSD_id_69_WebService_tr_4520_1st_6465.csv,69,18083,4520,44,4,13,0.0007189072609633358,0.002433224575568213,True,e23e0dce693b04ad125b5c19724e716b11fabb17b3c10c3feb370250e3ea7348
098_WSD_id_70_WebService_tr_3575_1st_3675.csv,70,18236,3575,9,3,3,0.0001645097609124808,0.0004935292827374424,True,6309ad1107ff8c020d2d47fa97771dc5b77fd97bcaf29e98e5b469c1c87d443f
100_WSD_id_72_WebService_tr_4559_1st_10254.csv,72,18236,4559,50,4,21,0.0011515683263873657,0.0027418293485413467,True,dce66d0c6559aeb5e0b24c622ccfd93fc893b9f98f57c93be928147f708007f0
101_WSD_id_73_WebService_tr_1513_1st_1613.csv,73,18236,1513,71,1,71,0.0038933976749287126,0.0038933976749287126,True,155a9911c7b0fda6045d12a3f4da7e87182b399020c4fd746302bc6657c3a3a0
102_WSD_id_74_WebService_tr_3306_1st_3639.csv,74,13227,3306,29,3,11,0.0008316322673319724,0.0021924850684206547,True,aff82180ea72e1b5beb4d0ead1749be626cab50a7296a240f19296955bed54d7
103_WSD_id_75_WebService_tr_1375_1st_1475.csv,75,18179,1375,107,4,65,0.0035755542109026897,0.005885912316409043,True,fb2a7c618f3943f3f7ba844e9c5ead8dd4f07eae4af2d4a1464714a74827cdae
104_WSD_id_76_WebService_tr_3047_1st_3147.csv,76,18084,3047,128,12,15,0.0008294625082946251,0.007078080070780801,True,d68216571d7b001dcf88a6d525a394096929a88a472c54f4feb866b51731eb0f
105_WSD_id_77_WebService_tr_2348_1st_2448.csv,77,18380,2348,96,9,17,0.0009249183895538629,0.005223068552774755,True,38d914dbfd0d17e52cac4b0609ab176c62d2532dfb666bf8f5bc435d69e49017
107_WSD_id_79_WebService_tr_1095_1st_1195.csv,79,18236,1095,326,6,161,0.008828690502303137,0.01787672735248958,False,fed86ff0aba372cab035340a8710842e9014d4e9c41bf6d17348fa0f86444b3e
108_WSD_id_80_WebService_tr_2368_1st_2468.csv,80,18220,2368,193,15,19,0.0010428100987925357,0.010592755214050493,False,947d1325878a58e54fdaa634b9d40065374e2b739ca6ddf4d69ee56d8d90cbdd
109_WSD_id_81_WebService_tr_3175_1st_3275.csv,81,18058,3175,65,8,12,0.0006645254180972422,0.003599512681360062,True,42bff0fe651b159d7e996ee6c6e670123734143947922a8ed71693d8a523dd5b
110_WSD_id_82_WebService_tr_500_1st_375.csv,82,18236,500,182,3,143,0.007841631936828252,0.009980258828690502,False,bf6a941e52a95991f718d5e98ef4dc4d29eb4bf9b31eb8e4b2d23f5e3460614e
111_WSD_id_83_WebService_tr_3934_1st_7531.csv,83,15736,3934,3,1,3,0.00019064565327910524,0.00019064565327910524,True,3fe3f7e8d5187fcfc1c1da4ba920e3ae885248c0bb168006a05e5a55073e8d96
112_WSD_id_84_WebService_tr_2442_1st_2542.csv,84,18380,2442,63,6,16,0.0008705114254624592,0.003427638737758433,True,cfeb33b09e8f24bfb153a9816cf8a46ad477296996631c2a55c62a2e97f33be5
114_WSD_id_86_WebService_tr_500_1st_403.csv,86,18243,500,83,8,14,0.0007674176396426026,0.004549690292166859,True,d3250f37d1afeb9833247f9a0c3a4110d988f23c3e3af7c265d12d9f006ced0c
115_WSD_id_87_WebService_tr_2252_1st_2352.csv,87,18214,2252,181,14,24,0.0013176677281212254,0.009937410782914241,True,c17c5efdf366ad095838079b61e5bac0244401262e7ae6ac60cc4c4fb9dc8f65
116_WSD_id_88_WebService_tr_3934_1st_13861.csv,88,15736,3934,5,1,5,0.00031774275546517537,0.00031774275546517537,True,37f61c68f46f480f3d54ba2047431586ebd9f66497c0c179dfff5aac2a9c1240
118_WSD_id_90_WebService_tr_4559_1st_6317.csv,90,18236,4559,3,1,3,0.0001645097609124808,0.0001645097609124808,True,d2a9ad0cba079e12c75cfb97b02755aee9ae24f878bb3203dda9f4c118285a66
119_WSD_id_91_WebService_tr_4559_1st_12353.csv,91,18236,4559,34,1,34,0.001864443957008116,0.001864443957008116,True,de86dc513707a69dcf67219a5e91ba76ce88c4de164f14b161b188fabca779e2
120_WSD_id_92_WebService_tr_2329_1st_2429.csv,92,17438,2329,95,9,14,0.000802844362885652,0.005447872462438353,True,91740c0da43c1c56b283360d81c79e68f542fdfff3b4e41b19c40a69d92d27f0
121_WSD_id_93_WebService_tr_4559_1st_11749.csv,93,18236,4559,43,3,20,0.0010967317394165387,0.0023579732397455582,True,4498df73e9f3ddfe62175b51ad77de32c75591850056096512b9db8e4b11e02d
122_WSD_id_94_WebService_tr_4559_1st_8618.csv,94,18236,4559,56,2,29,0.001590261022153981,0.0030708488703663083,True,13cca6d5ddbaed725a93b88259e0e23cad79e76e61a075307d4dc0a4b5970793
123_WSD_id_95_WebService_tr_4559_1st_4901.csv,95,18236,4559,36,6,21,0.0011515683263873657,0.0019741171309497698,True,7df6714601b455c8adda86ddd279019dac30cc5f962681c61410644d6de4fe24
124_WSD_id_96_WebService_tr_4559_1st_14350.csv,96,18236,4559,10,1,10,0.0005483658697082694,0.0005483658697082694,True,70352bb0c833c8af013e55acdf33114a85de7276896b59eb3597db1b66e61abb
126_WSD_id_98_WebService_tr_657_1st_757.csv,98,18883,657,252,29,17,0.0009002806757400836,0.013345337075676535,False,4b3cd4657a18f022dcaa6a0d66bd8f1690c4c48bdb90b6a2017130ac509bab6f
127_WSD_id_99_WebService_tr_1164_1st_1264.csv,99,18190,1164,117,11,15,0.0008246289169873557,0.006432105552501374,True,8f4ee9d57c1628379ab05ee4d9478d2a66f64f7e8b7f0d1b00cf1bdade2be76d
128_WSD_id_100_WebService_tr_4068_1st_4168.csv,100,18236,4068,200,4,104,0.005703005044966001,0.010967317394165387,False,711b374c2f27f88e958c8f93a49f301139200320df27b72a2146a3412763a21e
129_WSD_id_101_WebService_tr_4448_1st_9592.csv,101,17794,4448,20,3,14,0.0007867820613690008,0.0011239743733842868,True,28ca14ac26b84bbe45885f3d8ef774eb8710edf02adac3a172bcdf67397d5de0
