cell,trial,covered,left,right,width,empty,joint_contrast_covered,positive_contrasts,negative_contrasts
paper_f1_cusp__uniform__n500,0,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,18,25
paper_f1_cusp__uniform__n500,1,True,0.24151696606786427,0.35129740518962077,0.1097804391217565,False,True,18,27
paper_f1_cusp__uniform__n500,2,True,0.25748502994011974,0.4151696606786427,0.15768463073852296,False,True,18,24
paper_f1_cusp__uniform__n500,3,True,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,17,25
paper_f1_cusp__uniform__n500,4,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,18,24
paper_f1_cusp__uniform__n500,5,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,16,23
paper_f1_cusp__uniform__n500,6,True,0.24151696606786427,0.35129740518962077,0.1097804391217565,False,True,18,24
paper_f1_cusp__uniform__n500,7,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,18,24
paper_f1_cusp__uniform__n500,8,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,17,25
paper_f1_cusp__uniform__n500,9,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,15,25
paper_f1_cusp__uniform__n500,10,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,16,24
paper_f1_cusp__uniform__n500,11,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,18,25
paper_f1_cusp__uniform__n500,12,True,0.1936127744510978,0.4151696606786427,0.22155688622754488,False,True,12,24
paper_f1_cusp__uniform__n500,13,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,19,25
paper_f1_cusp__uniform__n500,14,True,0.1936127744510978,0.3992015968063872,0.2055888223552894,False,True,15,22
paper_f1_cusp__uniform__n500,15,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,16,25
paper_f1_cusp__uniform__n500,16,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,15,25
paper_f1_cusp__uniform__n500,17,True,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,17,25
paper_f1_cusp__uniform__n500,18,True,0.24151696606786427,0.36726546906187624,0.12574850299401197,False,True,19,25
paper_f1_cusp__uniform__n500,19,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,16,25
paper_f1_cusp__uniform__n500,20,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,17,25
paper_f1_cusp__uniform__n500,21,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,18,24
paper_f1_cusp__uniform__n500,22,True,0.20958083832335328,0.36726546906187624,0.15768463073852296,False,True,16,26
paper_f1_cusp__uniform__n500,23,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,False,17,25
paper_f1_cusp__uniform__n500,24,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,17,25
paper_f1_cusp__uniform__n500,25,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,18,23
paper_f1_cusp__uniform__n500,26,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,16,26
paper_f1_cusp__uniform__n500,27,True,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,17,25
paper_f1_cusp__uniform__n500,28,True,0.249500998003992,0.35129740518962077,0.10179640718562877,False,True,18,25
paper_f1_cusp__uniform__n500,29,True,0.249500998003992,0.36726546906187624,0.11776447105788423,False,True,19,25
paper_f1_cusp__uniform__n500,30,True,0.24151696606786427,0.33532934131736525,0.09381237524950098,False,True,18,27
paper_f1_cusp__uniform__n500,31,True,0.22554890219560877,0.4151696606786427,0.18962075848303392,False,True,16,26
paper_f1_cusp__uniform__n500,32,True,0.24151696606786427,0.3992015968063872,0.15768463073852296,False,True,18,24
paper_f1_cusp__uniform__n500,33,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,False,18,23
paper_f1_cusp__uniform__n500,34,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,16,25
paper_f1_cusp__uniform__n500,35,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,16,23
paper_f1_cusp__uniform__n500,36,True,0.24151696606786427,0.4151696606786427,0.17365269461077842,False,True,17,24
paper_f1_cusp__uniform__n500,37,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,17,25
paper_f1_cusp__uniform__n500,38,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,15,24
paper_f1_cusp__uniform__n500,39,True,0.20958083832335328,0.36726546906187624,0.15768463073852296,False,True,15,26
paper_f1_cusp__uniform__n500,40,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,16,23
paper_f1_cusp__uniform__n500,41,True,0.249500998003992,0.35129740518962077,0.10179640718562877,False,True,19,26
paper_f1_cusp__uniform__n500,42,True,0.25748502994011974,0.35129740518962077,0.09381237524950103,False,True,19,28
paper_f1_cusp__uniform__n500,43,True,0.25748502994011974,0.3592814371257485,0.10179640718562877,False,True,19,25
paper_f1_cusp__uniform__n500,44,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,16,25
paper_f1_cusp__uniform__n500,45,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,17,26
paper_f1_cusp__uniform__n500,46,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,16,25
paper_f1_cusp__uniform__n500,47,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,18,25
paper_f1_cusp__uniform__n500,48,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,16,24
paper_f1_cusp__uniform__n500,49,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,17,22
paper_f1_cusp__uniform__n500,50,True,0.249500998003992,0.33532934131736525,0.08582834331337325,False,True,20,30
paper_f1_cusp__uniform__n500,51,True,0.22554890219560877,0.3992015968063872,0.17365269461077845,False,True,15,23
paper_f1_cusp__uniform__n500,52,True,0.249500998003992,0.4151696606786427,0.1656686626746507,False,True,18,25
paper_f1_cusp__uniform__n500,53,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,15,26
paper_f1_cusp__uniform__n500,54,True,0.20958083832335328,0.4151696606786427,0.2055888223552894,False,True,15,23
paper_f1_cusp__uniform__n500,55,True,0.20958083832335328,0.3992015968063872,0.18962075848303395,False,True,15,24
