noise_sigma,method,mean_baseline_nmse,median_baseline_nmse,std_baseline_nmse
0.0,affine_ls,1.0282584106237231,0.6938139200504165,1.0435686712842887
0.0,fourier_oracle,0.4734002346087502,0.30059384749594575,0.4647973089825607
0.0,gaussian_oracle,0.623985701030872,0.3101803739780018,0.7815462229601604
0.0,hcrd_centered,0.07987667492356236,0.045339418876198134,0.11649736998458118
0.0,hcrd_legacy,0.07987667492356236,0.045339418876198134,0.11649736998458118
0.0,hcrd_robust,1.178541243867875,0.8992087860267011,0.845330004883066
0.0,moving_average_oracle,0.7528558877405211,0.3973618219515408,1.0238533764523225
0.0,rdp_oracle_budget,1.2394193190656062,1.076370743637798,0.9002667351839599
0.03,affine_ls,0.8214678228374878,0.6528234817079579,0.5943347901073622
0.03,fourier_oracle,0.45970277386819197,0.3871711075940496,0.3397768523755803
0.03,gaussian_oracle,0.4843774424020557,0.4612525188368607,0.34740742529642543
0.03,hcrd_centered,9.85743263149948,5.713747966818044,10.574498681441112
0.03,hcrd_legacy,9.85743263149948,5.713747966818044,10.574498681441112
0.03,hcrd_robust,1.4811218346121877,1.3058392910767695,1.189894702594137
0.03,moving_average_oracle,0.7145344744584415,0.5687229836786796,0.5947470819555868
0.03,rdp_oracle_budget,1.3636191377700857,1.2764557638927772,1.0944976784214746
0.1,affine_ls,0.789310141690566,0.6309561252981863,0.5676551249607131
0.1,fourier_oracle,0.36641144008888743,0.2972041433420454,0.2505648900995668
0.1,gaussian_oracle,0.3812066071623018,0.3252261076126303,0.2875522594615262
0.1,hcrd_centered,6.068497625403599,4.39056549993329,5.309489540306455
0.1,hcrd_legacy,6.068497625403599,4.39056549993329,5.309489540306455
0.1,hcrd_robust,1.6795280438580253,1.4601370563211025,1.2233992223858763
0.1,moving_average_oracle,0.4883782786484293,0.36968603570597114,0.4485842715171344
0.1,rdp_oracle_budget,1.5450506964943003,1.3630982062618133,1.1939471575960785
