"range","x_normalized","minus_logratio","sshaped_fitted"
390,0,0.05035573,0.0504381380722895
391,0.00303030303030303,0.06009706,0.0504381380722895
393,0.00909090909090909,0.04190091,0.0504381380722895
394,0.0121212121212121,0.0509847,0.0504381380722895
396,0.0181818181818182,0.05991345,0.0504381380722895
397,0.0212121212121212,0.02842392,0.0504381380722895
399,0.0272727272727273,0.05958421,0.0504862348100498
400,0.0303030303030303,0.03988881,0.0505102831789299
402,0.0363636363636364,0.02939582,0.0505583799166902
403,0.0393939393939394,0.03949445,0.0505824282855704
405,0.0454545454545455,0.04764749,0.0506305250233306
406,0.0484848484848485,0.06038,0.0506545733922108
408,0.0545454545454545,0.03123034,0.050702670129971
409,0.0575757575757576,0.03816584,0.0507267184988512
411,0.0636363636363636,0.07562269,0.0507748152366114
412,0.0666666666666667,0.05001751,0.0507988636054916
414,0.0727272727272727,0.0457295,0.0508469603432519
415,0.0757575757575758,0.07766966,0.050871008712132
417,0.0818181818181818,0.02460641,0.0509191054498923
418,0.0848484848484849,0.07133184,0.0509431538187724
420,0.0909090909090909,0.01320746,0.0509912505565327
421,0.0939393939393939,0.03162615,0.0510152989254128
423,0.1,0.03247478,0.0510633956631731
424,0.103030303030303,0.08840797,0.0510874440320532
426,0.109090909090909,0.07024166,0.0511355407698135
427,0.112121212121212,0.02877263,0.0511595891386936
429,0.118181818181818,0.03696702,0.0512076858764539
430,0.121212121212121,0.1015625,0.051231734245334
432,0.127272727272727,0.06831373,0.0512798309830943
433,0.13030303030303,0.03175751,0.0513038793519744
435,0.136363636363636,0.05336819,0.0513519760897347
436,0.139393939393939,0.05726381,0.0513760244586149
438,0.145454545454545,0.02295515,0.0514241211963751
439,0.148484848484848,0.01479166,0.0514481695652553
441,0.154545454545455,0.02531884,0.0514962663030155
442,0.157575757575758,0.09538944,0.0515203146718957
444,0.163636363636364,0.08126108,0.0515684114096559
445,0.166666666666667,0.06473801,0.0515924597785361
447,0.172727272727273,0.04940004,0.0516405565162964
448,0.175757575757576,0.02453983,0.0516646048851765
450,0.181818181818182,0.004223316,0.0517127016229368
451,0.184848484848485,0.04692908,0.0517367499918169
453,0.190909090909091,0.0726426,0.0517848467295772
454,0.193939393939394,0.06375497,0.0518088950984573
456,0.2,0.04867571,0.0518569918362176
457,0.203030303030303,0.07902194,0.0518810402050977
459,0.209090909090909,0.05508392,0.051929136942858
460,0.212121212121212,0.03600915,0.0519531853117381
462,0.218181818181818,0.00819836,0.0520012820494984
463,0.221212121212121,0.02991638,0.0520253304183785
465,0.227272727272727,0.05904417,0.0520734271561388
466,0.23030303030303,0.04349076,0.0520974755250189
468,0.236363636363636,0.1083667,0.0521455722627792
469,0.239393939393939,0.07164495,0.0521696206316594
471,0.245454545454545,0.1080431,0.0522177173694196
472,0.248484848484848,0.01144756,0.0522417657382998
474,0.254545454545455,0.09066497,0.05228986247606
475,0.257575757575758,0.07438849,0.0523139108449402
477,0.263636363636364,0.08880716,0.0523620075827005
478,0.266666666666667,0.0724013,0.0523860559515806
480,0.272727272727273,0.03941208,0.0524341526893409
481,0.275757575757576,0.08413698,0.052458201058221
483,0.281818181818182,0.04477778,0.0525062977959813
484,0.284848484848485,0.1486651,0.0525303461648614
486,0.290909090909091,0.08027266,0.0525784429026217
487,0.293939393939394,0.05482479,0.0526024912715018
489,0.3,0.01202489,0.0526505880092621
490,0.303030303030303,-0.0193486,0.0526746363781422
492,0.309090909090909,0.08389427,0.0527227331159025
493,0.312121212121212,0.04157477,0.0527467814847826
495,0.318181818181818,0.06109121,0.0527948782225429
496,0.321212121212121,0.06044325,0.052818926591423
498,0.327272727272727,0.08220186,0.0528670233291833
499,0.33030303030303,0.07530349,0.0528910716980635
501,0.336363636363636,0.04480991,0.0529391684358237
502,0.339393939393939,-0.008222156,0.0529632168047039
504,0.345454545454545,0.06758809,0.0530113135424641
505,0.348484848484849,0.03249946,0.0530353619113443
507,0.354545454545455,0.02198146,0.0530834586491045
508,0.357575757575758,0.04232621,0.0531075070179847
510,0.363636363636364,0.07785213,0.053155603755745
511,0.366666666666667,0.07806195,0.0531796521246251
513,0.372727272727273,-0.02690717,0.0532277488623854
514,0.375757575757576,0.09226096,0.0532517972312655
516,0.381818181818182,0.09159045,0.0532998939690258
517,0.384848484848485,0.004001756,0.0533239423379059
519,0.390909090909091,0.01818933,0.0533720390756662
520,0.393939393939394,0.02527617,0.0533960874445463
522,0.4,0.05842499,0.0534441841823066
523,0.403030303030303,0.05257305,0.0534682325511867
525,0.409090909090909,0.02606248,0.053516329288947
526,0.412121212121212,0.1180877,0.0535403776578271
528,0.418181818181818,0.0526311,0.0535884743955874
529,0.421212121212121,0.04135148,0.0536125227644675
531,0.427272727272727,0.009199134,0.0536606195022278
532,0.43030303030303,0.08336644,0.0552564293849932
534,0.436363636363636,0.01253334,0.0584480491505239
