kpi_id,length,anomaly_points,anomaly_occupancy,max_run,max_run_fraction,primary_sparse_transient,canonical_series_sha256
02e99bd4f6cfb33f,128562,10550,0.08206157340427186,840,0.006533812479581836,False,5482ffa0f122fccd4489fc46a43ec9e05309ac2fb786230b10dd77a5734e1626
046ec29ddf80d62e,8784,80,0.009107468123861567,80,0.009107468123861567,False,3345faad44b35287c8694ebb47022f3f87ae80478d7b726ed11b662c0406cb37
07927a9a18fa19ae,10960,130,0.011861313868613138,27,0.0024635036496350364,False,841b2fa2bcac8dc20c90a3eace22d424b100670b84622ab917065342be372593
09513ae3e75778a3,128971,238,0.0018453760922998194,68,0.0005272503120856627,True,5baf45f50dc0215223efba085f7879b92b0224eefebf0862b96967df30ad5244
18fbb1d5a5dc099d,129128,7863,0.06089306734403073,3814,0.029536583854779752,False,3b7e57c65b066837e467d7d25642338b7ebd3a6ec2aa2c1f58597f3dcb642374
1c35dbf57f55f5e4,128853,9581,0.0743560491412695,6629,0.051446221663445944,False,24289607801e32a52c1fd8456638520e81058e47246ffa21eae3da9b11fdf717
40e25005ff8992bd,100254,654,0.006523430486564127,95,0.000947593113491731,True,a84f3b2317a4d4305e6ca0591713d4b789f5049484854aa766e09b94a5ad6f57
54e8a140f6237526,8248,4,0.00048496605237633366,4,0.00048496605237633366,True,cea70eaaa4b5e422cdee02d3a246f732d7551f5441a77e1ddb79e1b95a6c54ab
71595dd7171f4540,147668,1113,0.007537177993878159,202,0.0013679334723839965,True,8419fb495bb3db82eea2248d8d6f164336f9e2ec904facb218e7ee41e9d54ef1
769894baefea4e9e,8784,9,0.0010245901639344263,3,0.00034153005464480874,True,e54356918d8e5289af10fcccdcfa903e6dd42427ed11102b638f1a047d5f16e9
76f4550c43334374,8784,87,0.009904371584699454,83,0.009448998178506375,False,67b5201da2fbb9bb273ad05a6c52f216fe4c6367466d2df3f9976f905208b341
7c189dd36f048a6c,147689,426,0.002884439599428529,95,0.0006432435726425123,True,67017dfe8a3dd016f29f8108f5c430cbf25b238624906f11f6a95dc82daf06bb
88cf3a776ba00e7c,65436,3106,0.04746622654196467,625,0.009551317317684455,False,6fd99401811eefd41c72bc1a32ac7daa676a1740fe5e628aa5176f768e198dd6
8a20c229e9860d0c,8784,4,0.0004553734061930783,4,0.0004553734061930783,True,16253d7decd7af1c29f29f5bd9dc3f42bc107acc940c0706712c301656bcf1a8
8bef9af9a922e0b3,129453,527,0.00407097556642179,136,0.0010505743397217523,True,a44ced88c99934ca6cfbf9003c90aeda4010779d291b5bf871d31809365ffc7a
8c892e5525f3e491,147009,3083,0.020971505145943446,2678,0.018216571774517208,False,e7d148fc12819ea43203ca25d6661fe7a35b693aa58c311bfbf0a2f36f6cb134
9bd90500bfd11edb,128613,143,0.0011118627199427742,139,0.0010807616648394797,True,b2a5f7053b9015e03a9827a90f057bc6eb7a2b200747c3aa7372b1b63449d898
9ee5879409dccef9,65449,2945,0.04499686779018778,632,0.009656373664991062,False,2e6ffdf10e63ecdfdbe41cef9b159b6b0b3fd0155b99ec0b1e14bb60af8334fd
a40b1df87e3f1c87,137925,381,0.0027623708537248505,59,0.00042776871488127606,True,7799e876c40df14ea6be5bb331aea46556a77cea375b6f03d420e7c35fd955bd
a5bf5d65261d859a,128679,29,0.00022536699850014377,10,7.771275810349786e-05,True,b5dd195c9554b40c2773696d6e64c5df3e453b6bfd77870d54bd1c230340bbb3
affb01ca2b4f0b45,147680,584,0.003954496208017335,154,0.001042795232936078,True,d2b689dfb1caa67ec830498a2867795e66017fcbdbe10a023f9fc35d799732d4
b3b2e6d1a791d63a,8247,12,0.0014550745725718443,6,0.0007275372862859222,True,c7a5b057a5ffe86636c491ad8cebce4932da9e7f3b2108e500e41289af45c42a
c58bfcbacb2822d1,128667,124,0.0009637280732433336,10,7.772000590672045e-05,True,8e87f219f6b82bcfcecd785a1acb7938536a9bae8852d5ba2c9a29b15293c8ab
cff6d3c01e6a6bfa,147629,1087,0.007363051974882984,202,0.001368294847218365,True,4451c6a4efbe8e2576a19c6534697d737aa3471aa261708cead5999bd1bc2814
da403e4e3f87c9e0,129035,7666,0.059410237532452434,6643,0.05148215600418491,False,0e3ef28a73d31c80fda700a38591c760c9690714df7f59d080707a0440e54250
e0770391decc44ce,147024,3074,0.02090815105016868,2698,0.018350745456524105,False,5e405fefcd201b88a4773ce92e156df0ec594904cb872e26cb909602fede4ede
